date,url,lang,polarity,magnitude,score,name,type,mid,wikipediaUrl,numMentions,avgSalience,coordinates,row_number
4/8/2020 16:48:42,https://www.welt.de/regionales/nrw/article207144141/Angehobenes-Auto-faellt-bei-Arbeiten-auf-Mann.html,de,0,2.5,-0.3,Hövelhof,LOCATION,/m/06h2n1,https://en.wikipedia.org/wiki/Hövelhof,2,0.048401,"51.81667,8.65",1
4/8/2020 16:06:17,https://rp-online.de/panorama/coronavirus/verfassungsgericht-weist-eilantrag-gegen-corona-massnahmen-ab-verordnungen-bleiben-in-kraft_aid-49984065,de,0,3.5,-0.3,Karlsruhe,LOCATION,/m/0qb1z,https://en.wikipedia.org/wiki/Karlsruhe,2,0.02852,"49.00937,8.40444",1
4/8/2020 15:19:30,https://www.soester-anzeiger.de/lokales/kreis-soest/lippstadt-nrw-kontaktverbot-trotz-geschlossener-gesellschaft-ausrede-ohne-erfolg-13645642.html,de,0,5,-0.3,Lippstadt,LOCATION,/m/03fp8v,https://en.wikipedia.org/wiki/Lippstadt,2,0.002719,"51.67369,8.34482",1
4/8/2020 19:16:40,https://www.derbund.ch/unter-der-pandemie-leiden-besonders-die-schwarzen-746803829552,de,0,19.2,-0.3,Louisiana,LOCATION,/m/04ly1,https://en.wikipedia.org/wiki/Louisiana,2,0.000549,"39.44894,-91.05153",1
4/8/2020 19:48:31,https://www.berneroberlaender.ch/unter-der-pandemie-leiden-besonders-die-schwarzen-746803829552,de,0,19.2,-0.3,Louisiana,LOCATION,/m/04ly1,https://en.wikipedia.org/wiki/Louisiana,2,0.000549,"39.44894,-91.05153",1
4/8/2020 19:33:04,https://www.tagesanzeiger.ch/unter-der-pandemie-leiden-besonders-die-schwarzen-746803829552,de,0,19.2,-0.3,Louisiana,LOCATION,/m/04ly1,https://en.wikipedia.org/wiki/Louisiana,2,0.000549,"39.44894,-91.05153",1
4/8/2020 19:03:35,https://www.thunertagblatt.ch/unter-der-pandemie-leiden-besonders-die-schwarzen-746803829552,de,0,19.2,-0.3,Louisiana,LOCATION,/m/04ly1,https://en.wikipedia.org/wiki/Louisiana,2,0.000549,"39.44894,-91.05153",1
4/8/2020 19:33:31,https://www.landbote.ch/unter-der-pandemie-leiden-besonders-die-schwarzen-746803829552,de,0,19.2,-0.3,Louisiana,LOCATION,/m/04ly1,https://en.wikipedia.org/wiki/Louisiana,2,0.000549,"39.44894,-91.05153",1
4/8/2020 23:03:04,https://www.allgemeine-zeitung.de/lokales/bingen/vg-gau-algesheim/ockenheim,de,0,6.5,-0.3,Ockenheim,LOCATION,/m/02z2zhh,https://en.wikipedia.org/wiki/Ockenheim,2,0.063787,"49.94371,7.97127",1
4/8/2020 22:46:53,https://thueringen.de/dpa-meldungen/ramelow-zu-corona-kontaktverbote-noch-nicht-lockern-9522/,de,0,5.5,-0.3,Thüringen,LOCATION,/m/07nf6,https://en.wikipedia.org/wiki/Thuringia,2,0.011258,"47.2,9.76667",1
4/8/2020 19:03:50,https://www.welt.de/regionales/bayern/article207144391/Drei-Verletzte-nach-Wendeversuch-auf-der-Autobahn.html,de,0,3.4,-0.5,Mindelheim,LOCATION,/m/096pss,https://en.wikipedia.org/wiki/Mindelheim,2,0.052501,"48.04578,10.49222",1
4/8/2020 15:35:23,https://www.n-tv.de/regionales/bayern/Drei-Verletzte-nach-Wendeversuch-auf-der-Autobahn-article21703104.html,de,0,3.4,-0.5,Mindelheim,LOCATION,/m/096pss,https://en.wikipedia.org/wiki/Mindelheim,2,0.052501,"48.04578,10.49222",1
4/8/2020 10:20:29,https://www.lto.de/recht/nachrichten/n/ovg-berlin-brandenburg-11-s-15-20-corona-einreiseverbot-ostprignitz-ruppin-rechtswidrig/,de,0,9,-0.3,Brandenburg,LOCATION,/m/017wh,https://en.wikipedia.org/wiki/Brandenburg,2,0.00192,"37.99896,-86.16941",1
4/8/2020 13:33:17,https://chrismon.evangelisch.de/nachrichten/49251/who-mehr-als-10-000-corona-faelle-in-afrika,de,0,3.7,-0.5,Brazzaville,LOCATION,/m/0dvlx,https://en.wikipedia.org/wiki/Brazzaville,2,0.111768,"-4.26613,15.28318",1
4/8/2020 18:48:48,https://www.germandailynews.com/bericht-123177/zwangsverpflichtung-aus-pandemie-gesetz-gestrichen.html,de,0,8.6,-0.3,Düsseldorf,LOCATION,/m/0hf7l,https://en.wikipedia.org/wiki/Düsseldorf,2,0.015972,"51.22172,6.77616",1
4/8/2020 17:32:35,https://www.boyens-medien.de/artikel/schleswig-holstein/haftstrafe-fuer-mutmassliches-mitglied-des-aryan-circle-331821.html,de,0,8.5,-0.3,Neumünster,LOCATION,/m/04d32t,https://en.wikipedia.org/wiki/Neumünster,2,0.027446,"54.07477,9.98195",1
4/8/2020 13:33:51,https://www.hna.de/lokales/rotenburg-bebra/hersfeld-rotenburg/versuchter-einbruch-hersfelder-juweliergeschaeft-13645476.html,de,0,5.1,-0.5,Bad Hersfeld,LOCATION,/m/01nw48,https://en.wikipedia.org/wiki/Bad_Hersfeld,2,0.001973,"50.87197,9.70891",1
4/8/2020 18:47:51,https://www.nw.de/lokal/kreis_herford/hiddenhausen/22747016_In-Hiddenhausen-fallen-alle-Osterfeuer.html,de,0,2.5,-0.3,Hiddenhausen,LOCATION,/m/0bgnbw,https://en.wikipedia.org/wiki/Hiddenhausen,2,0.089917,"52.16667,8.61667",1
4/8/2020 12:47:50,https://www.mainpost.de/regional/wuerzburg/Felssicherung-am-Weinbergsweg,de,0,2,-0.3,Sommerhausen,LOCATION,/m/02rlb11,https://en.wikipedia.org/wiki/Sommerhausen,2,0.061646,"49.70361,10.02605",1
4/8/2020 12:33:12,https://www.badische-zeitung.de/warum-soll-man-marmeladenglaeser-nach-dem-befuellen-auf-den-kopf-stellen,de,0,5.7,-0.5,Bad Schwartau,LOCATION,/m/0cn5mr,https://en.wikipedia.org/wiki/Bad_Schwartau,2,0.012743,"53.91887,10.69691",1
4/8/2020 9:17:46,https://www.finanzen.ch/nachrichten/aktien/coronavirus-verzoegert-bei-bayer-roundup-vergleichsgespraeche-bayer-aktie-in-gruen-1029065502,de,0,5.5,-0.3,US,LOCATION,/m/09c7w0,https://en.wikipedia.org/wiki/United_States,2,0.001013,"41.6392,-87.45476",1
4/8/2020 20:33:58,https://www.wiwo.de/fed-protokolle-us-notenbank-will-mit-niedrigzins-durch-die-krise-steuern/25729046.html,de,0,8.1,-0.3,Richmond,LOCATION,/m/0dzt9,"https://en.wikipedia.org/wiki/Richmond,_Virginia",2,0.000998,"45.66677,-72.1491",1
4/8/2020 11:04:28,https://www.faz.net/aktuell/wirtschaft/digitec/corona-tesla-kuerzt-gehaelter-und-beurlaubt-angestellte-16717037.html,de,0,9.1,-0.3,Fremont,LOCATION,/m/0dwh5,"https://en.wikipedia.org/wiki/Fremont,_California",2,0.000987,"35.54544,-77.97471",1
